DATE,C_COMPILER,C_TUTORIAL,CSHARP_COMPILER,CSHARP_TUTORIAL,CPLUSPLUS_COMPILER,CPLUSPLUS_TUTORIAL,CALCULATORPLUS,CALENDARPLUS,COMPILERPLUS,CSS_TUTORIAL,DART_COMPILER,DART_TUTORIAL,GO_COMPILER,GO_TUTORIAL,HTML_TUTORIAL,JAVA_COMPILER,JAVA_TUTORIAL,JAVASCRIPT_COMPILER,JAVASCRIPT_TUTORIAL,KOTLIN_COMPILER,KOTLIN_TUTORIAL,MOTIVATIONPLUS,NOTESPLUS,PHP_COMPILER,PHP_TUTORIAL,PYTHON_COMPILER,PYTHON_TUTORIAL,RUBY_COMPILER,RUBY_TUTORIAL,SUCCESS_STORIES,SWIFT_COMPILER,SWIFT_TUTORIAL,TASKSPLUS,TIMEPLUS,TRAVEL_DIARIES,XML_TUTORIAL
16/11/2021,0,0,0,0,0,0,51,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,1,26,0,0,3,0
17/11/2021,1,4,0,0,5,3,1,2,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2
18/11/2021,0,6,0,0,6,10,2,1,0,5,0,0,9,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,5
19/11/2021,0,0,0,0,0,0,9,2,0,0,0,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,5
20/11/2021,8,6,4,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,7,0,6,0,0,0
21/11/2021,6,5,18,2,0,0,2,0,1,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,56,0,0
24/11/2021,0,0,2,0,0,0,1,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
25/11/2021,5,0,0,0,12,12,6,10,0,0,0,0,0,0,16,0,2,22,16,0,0,1,16,0,0,0,0,0,0,0,5,0,0,0,0,0
26/11/2021,0,0,0,0,0,7,5,0,1,1,0,0,0,0,44,0,0,5,44,0,0,0,2,0,0,0,0,0,0,0,5,6,0,0,0,26
28/11/2021,1,3,0,0,0,1,4,0,0,0,0,0,0,0,23,0,0,12,18,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0
29/11/2021,0,0,0,0,11,13,0,25,0,0,0,0,5,7,0,11,7,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,22
30/11/2021,0,0,0,0,38,75,3,9,0,0,0,0,0,7,1,4,13,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,32
01/12/2021,0,0,0,0,46,39,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,12,5,6,0,0,12,13
02/12/2021,0,0,0,0,31,58,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,9,12,0,0,9,0,1,0,1,10,28
06/12/2021,1,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10/12/2021,0,1,12,10,0,0,0,0,0,12,0,0,0,0,5,0,1,2,2,0,0,0,4,4,3,1,0,1,4,0,0,0,0,11,0,0
11/12/2021,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11/11/2021,16,16,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2021,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,15,19,0,0,0,0
22/11/2021,0,1,11,14,0,0,6,0,0,16,0,0,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,7,7,5,11,0,0
23/11/2021,0,0,5,6,0,0,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5,1,2,0,0
27/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,44,11,0,0,6,36,0,6,0,0,6,0,6,6,2,4,0,0,0
03/12/2021,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,27,32,0,0,0,0,0,0,0,0,39,38,0,0,1,0,0,0,4,1,0
04/12/2021,6,4,4,4,0,0,0,0,2,12,0,0,0,0,0,39,18,0,0,0,0,0,0,0,0,29,52,0,0,2,0,0,0,4,1,0
05/12/2021,2,7,4,7,0,6,0,0,0,0,0,0,0,0,0,41,49,0,0,0,0,0,0,0,0,39,58,0,0,0,0,0,0,0,0,0
08/12/2021,1,5,19,25,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,5,5,6,0,0,0,0,1,0,0,0,17,0,0
09/12/2021,0,0,14,9,0,0,0,0,1,11,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,4,7,0,0,0,0,6,0,0
07/12/2021,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,1,12,13,0,0,12,11,0,1,0,0,1,0,0
12/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,19,19,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
13/12/2021,0,0,2,2,0,0,0,0,0,4,0,0,0,0,13,0,4,17,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0
14/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,19,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0
15/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,16,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
16/12/2021,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
17/12/2021,0,0,0,0,21,17,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
18/12/2021,0,3,0,0,17,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
19/12/2021,0,0,0,0,12,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20/12/2021,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
22/12/2021,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
23/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0
24/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0
25/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,9,8,0,0,0,1,1,0,0,0,0
26/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/12/2021,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/12/2021,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4
01/01/2022,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
02/01/2022,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2022,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,25,0,11,0,0,0,0,0,0,8,33,0,0,0,0,0,0,0,0,0
04/01/2022,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
05/01/2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0,0,6,0,0,0,0,0,0
06/01/2022,26,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
07/01/2022,1,0,0,0,0,5,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2022,0,0,0,0,1,18,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,6,0,0,0
09/01/2022,1,0,1,0,0,0,0,0,16,0,0,1,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
10/01/2022,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0
11/01/2022,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,1,1,0,0,0,0,0,0,0
12/01/2022,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,25,0,0,0,0
13/01/2022,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,7,0,0,0,0,0,0,0,0
14/01/2022,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0
15/01/2022,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,28,0,0,0,0,4,0,0,0
19/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
28/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
